"ambiguous_word","id","gloss","role_category","gloss_lower"
"rotten",2055402,"did anyone ever tell you you were a rotten dad","Target Child","did anyone ever tell you you were a rotten dad"
"rotten",2055427,"did you really mean that I was rotten","Father","did you really mean that i was rotten"
"rotten",2055975,"all the rotten bodies","Father","all the rotten bodies"
"rotten",2056072,"xxx those rotten toys","Father","xxx those rotten toys"
"rotten",2056162,"pretty rotten","Father","pretty rotten"
"rotten",2056190,"and um big fat uh um big rotten Dracula","Target Child","and um big fat uh um big rotten dracula"
"rotten",2056193,"big rotten Dracula","Father","big rotten dracula"
"rotten",2061308,"you mean do rotten stuff and steal stuff","Father","you mean do rotten stuff and steal stuff"
"rotten",2065633,"but look how rotten he is","Father","but look how rotten he is"
"rotten",2065813,"that was rotten Mark","Father","that was rotten mark"
"rotten",2076216,"it's really rotten right","Father","it's really rotten right"
"rotten",2076561,"really rotten brother right","Father","really rotten brother right"
"rotten",2076830,"that's pretty rotten","Father","that's pretty rotten"
"rotten",2078829,"rotten thing for him to say isn't it","Father","rotten thing for him to say isn't it"
"rotten",2079116,"mm that's rotten","Father","mm that's rotten"
"alarm",2088842,"well these houses with the lines on the outside is when the alarm goes off","Target Child","well these houses with the lines on the outside is when the alarm goes off"
"tender",2134420,"that picks up the tender","Mother","that picks up the tender"
"tender",2134467,"that leans over off the bridge and picks up the tender out_of the coal barge","Mother","that leans over off the bridge and picks up the tender out_of the coal barge"
"odd",2145584,"which is an odd thing for you to do baby","Mother","which is an odd thing for you to do baby"
"tender",2155854,"it has a genter tender nose","Mother","it has a genter tender nose"
"alarm",2164162,"is that their smoke alarm going off Dillon","Mother","is that their smoke alarm going off dillon"
"alarm",2164174,"their smoke alarm is going off","Mother","their smoke alarm is going off"
"odd",2166605,"it's a weird odd shape isn't it","Mother","it's a weird odd shape isn't it"
"gloomy",2242059,"it's gloomy donkey Eeyore","Mother","it's gloomy donkey eeyore"
"gloomy",2244715,"just a kinda gloomy day out huh","Mother","just a kinda gloomy day out huh"
"gloomy",2244730,"a gloomy day out","Mother","a gloomy day out"
"alarm",2256612,"she got her alarm set for twelve o'clock in the daytime","Mother","she got her alarm set for twelve o'clock in the daytime"
"alarm",2291706,"was it a false alarm","Mother","was it a false alarm"
"ill",2291926,"the boy became ill one day","Mother","the boy became ill one day"
"rotten",2299477,"because your butt is rotten","Mother","because your butt is rotten"
"alarm",2334440,"last time something turned out to be part of the alarm+clock","Mother","last time something turned out to be part of the alarm+clock"
"ill",2356751,"that's an ill fated cup of coffee","Mother","that's an ill fated cup of coffee"
"odd",2357234,"taking odd","Sibling","taking odd"
"alarm",2357931,"we're gonna hafta set the alarm clock tomorrow","Mother","we're gonna hafta set the alarm clock tomorrow"
"crushed",2358645,"and they crushed it down","Target Child","and they crushed it down"
"tender",2431239,"a black tender","Mother","a black tender"
"ill",2436430,"ill","Target Child","ill"
"ill",2466550,"ill show you how you take it off","Mother","ill show you how you take it off"
"ill",2470172,"ill fix that","Mother","ill fix that"
"ill",2474124,"ill take it","Mother","ill take it"
"ill",2474768,"ill give Aislinn some egg","Mother","ill give aislinn some egg"
"ill",2494664,"ill try","Mother","ill try"
"ill",2499398,"you pull it and ill pull it","Mother","you pull it and ill pull it"
"ill",2499425,"you pull and ill pull","Mother","you pull and ill pull"
"ill",2500241,"ill hold it","Mother","ill hold it"
"ill",2500263,"sit on mommys lap and ill read it to you","Mother","sit on mommys lap and ill read it to you"
"ill",2502391,"ill bet you its in here","Mother","ill bet you its in here"
"ill",2502978,"ill bet you can do it like this","Mother","ill bet you can do it like this"
"ill",2505945,"ill get it","Mother","ill get it"
"ill",2508377,"ill bet you it will fit in there","Mother","ill bet you it will fit in there"
"alarm",2517757,"yep we were in the pool and the alarm went whoop whoop whoop","Mother","yep we were in the pool and the alarm went whoop whoop whoop"
"tender",2518483,"and another chicken tender","Target Child","and another chicken tender"
"alarm",2523103,"when does the smoke alarm go off","Mother","when does the smoke alarm go off"
"alarm",2523362,"what is mommy doing when the smoke alarm goes off","Mother","what is mommy doing when the smoke alarm goes off"
"alarm",2523404,"what was mommy doing when the smoke alarm went off","Mother","what was mommy doing when the smoke alarm went off"
"alarm",2523494,"what was mommy doing when when the smoke alarm goes off","Mother","what was mommy doing when when the smoke alarm goes off"
"alarm",2523591,"what is mommy doing when the smoke alarm goes off","Mother","what is mommy doing when the smoke alarm goes off"
"alarm",2523642,"I thought that's when the smoke alarm went off when mommy was cooking","Mother","i thought that's when the smoke alarm went off when mommy was cooking"
"odd",2575427,"we have a odd person at our house","Target Child","we have a odd person at our house"
"odd",2575441,"we have an odd person at our house","Mother","we have an odd person at our house"
"odd",2575454,"who's the odd person","Mother","who's the odd person"
"odd",2575511,"old person or odd person","Mother","old person or odd person"
"odd",2575524,"odd person","Target Child","odd person"
"odd",2575536,"odd person okay","Mother","odd person okay"
"odd",2575565,"odd ottoman","Mother","odd ottoman"
"odd",2575580,"no odd person I said","Target Child","no odd person i said"
"odd",2575589,"I know what does odd mean","Mother","i know what does odd mean"
"odd",2575603,"you're odd","Target Child","you're odd"
"odd",2575613,"what's odd mean","Mother","what's odd mean"
"odd",2575683,"you're still odd","Target Child","you're still odd"
"odd",2575707,"you're odd because you don't have a nose","Target Child","you're odd because you don't have a nose"
"odd",2579033,"her does have very big feet it's kinda odd isn't it and strange","Mother","her does have very big feet it's kinda odd isn't it and strange"
"rotten",2601794,"know what it's really rotten and xxx worms inside","Target Child","know what it's really rotten and xxx worms inside"
"odd",2602494,"xxx I know I always thought that that was very odd actually","Mother","xxx i know i always thought that that was very odd actually"
"alarm",2622082,"fire alarm","Father","fire alarm"
"ill",2660311,"okay ill keep reading and you keep playing","Mother","okay ill keep reading and you keep playing"
"ill",2721096,"ill read","Mother","ill read"
"ill",2786354,"okay ill put the bee right here","Mother","okay ill put the bee right here"
"ill",2792014,"oh ill put him in the bowl","Mother","oh ill put him in the bowl"
